Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour)
1,Monday,1,work_flow_0,File_0,0,0
1,Monday,1,work_flow_2,File_12,0,0
1,Monday,1,work_flow_2,File_13,0,0
1,Monday,1,work_flow_2,File_14,0,0
1,Monday,1,work_flow_2,File_16,0,0
1,Monday,1,work_flow_2,File_17,0,0
1,Monday,1,work_flow_3,File_18,0,0
1,Monday,1,work_flow_3,File_19,0,0
1,Monday,1,work_flow_3,File_20,0,0
1,Monday,1,work_flow_3,File_21,0,0
1,Monday,1,work_flow_3,File_22,0,0
1,Monday,1,work_flow_3,File_23,0,0
1,Monday,1,work_flow_0,File_1,0.0201604915,1
1,Monday,1,work_flow_0,File_2,0.0191160116,1
1,Monday,1,work_flow_0,File_3,0.0193788086,1
1,Monday,1,work_flow_0,File_4,0.0189923642,1
1,Monday,1,work_flow_0,File_5,0.0204832088,1
1,Monday,1,work_flow_1,File_6,0.0409712156,1
1,Monday,1,work_flow_1,File_7,0.0392348766,1
1,Monday,1,work_flow_1,File_8,0.0408134263,1
1,Monday,1,work_flow_1,File_9,0.042345607,1
1,Monday,1,work_flow_1,File_10,0.0377038808,1
1,Monday,1,work_flow_1,File_11,0.0409169679,1
1,Monday,1,work_flow_2,File_15,0.0021599213,1
1,Monday,1,work_flow_4,File_24,0.0184086851,1
1,Monday,1,work_flow_4,File_25,0.020608349,1
1,Monday,1,work_flow_4,File_26,0.0207793035,1
1,Monday,1,work_flow_4,File_27,0.0200150802,1
1,Monday,1,work_flow_4,File_28,0.0214587751,1
1,Monday,1,work_flow_4,File_29,0.0199355542,1
1,Monday,5,work_flow_2,File_12,0,0
1,Monday,5,work_flow_2,File_13,0,0
1,Monday,5,work_flow_2,File_14,0,0
1,Monday,5,work_flow_2,File_16,0,0
1,Monday,5,work_flow_2,File_17,0,0
1,Monday,5,work_flow_3,File_18,0,0
1,Monday,5,work_flow_3,File_19,0,0
1,Monday,5,work_flow_3,File_20,0,0
1,Monday,5,work_flow_3,File_21,0,0
1,Monday,5,work_flow_3,File_22,0,0
1,Monday,5,work_flow_3,File_23,0,0
1,Monday,5,work_flow_2,File_15,0,0
1,Monday,5,work_flow_0,File_0,0.0807320436,1
1,Monday,5,work_flow_0,File_1,0.0797924265,1
1,Monday,5,work_flow_0,File_2,0.042312931,1
1,Monday,5,work_flow_0,File_3,0.0840051721,1
1,Monday,5,work_flow_0,File_4,0.078557789,1
1,Monday,5,work_flow_0,File_5,0.0794558686,1
1,Monday,5,work_flow_1,File_6,0.1555415636,1
1,Monday,5,work_flow_1,File_7,0.1539738283,1
1,Monday,5,work_flow_1,File_8,0.1598020634,1
1,Monday,5,work_flow_1,File_9,0.1599506584,1
1,Monday,5,work_flow_1,File_10,0.1636845247,1
1,Monday,5,work_flow_1,File_11,0.1609182896,1
1,Monday,5,work_flow_4,File_24,0.0617582816,1
1,Monday,5,work_flow_4,File_25,0.0640275007,1
1,Monday,5,work_flow_4,File_26,0.0802290344,1
1,Monday,5,work_flow_4,File_27,0.080983995,1
1,Monday,5,work_flow_4,File_28,0.0651005044,1
1,Monday,5,work_flow_4,File_29,0.0809710345,1
1,Monday,9,work_flow_2,File_12,0,0
1,Monday,9,work_flow_2,File_13,0,0
1,Monday,9,work_flow_2,File_14,0,0
1,Monday,9,work_flow_2,File_16,0,0
1,Monday,9,work_flow_2,File_17,0,0
1,Monday,9,work_flow_3,File_19,0,0
1,Monday,9,work_flow_3,File_20,0,0
1,Monday,9,work_flow_3,File_21,0,0
1,Monday,9,work_flow_3,File_23,0,0
1,Monday,9,work_flow_2,File_15,0,0
