Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour),Size of Backup (GB)
1,Monday,1,work_flow_0,File_0,0,0,1.40E-02
1,Monday,1,work_flow_2,File_12,0,0,0.00E+00
1,Monday,1,work_flow_2,File_13,0,0,0.00E+00
1,Monday,1,work_flow_2,File_14,0,0,0.00E+00
1,Monday,1,work_flow_2,File_16,0,0,0.00E+00
1,Monday,1,work_flow_2,File_17,0,0,0.00E+00
1,Monday,1,work_flow_3,File_18,0,0,0.00E+00
1,Monday,1,work_flow_3,File_19,0,0,0.00E+00
1,Monday,1,work_flow_3,File_20,0,0,0.00E+00
1,Monday,1,work_flow_3,File_21,0,0,0.00E+00
1,Monday,1,work_flow_3,File_22,0,0,0.00E+00
1,Monday,1,work_flow_3,File_23,0,0,0.00E+00
1,Monday,1,work_flow_0,File_1,0.0201604915,1,2.07E-02
1,Monday,1,work_flow_0,File_2,0.0191160116,1,2.05E-02
1,Monday,1,work_flow_0,File_3,0.0193788086,1,2.05E-02
1,Monday,1,work_flow_0,File_4,0.0189923642,1,2.05E-02
1,Monday,1,work_flow_0,File_5,0.0204832088,1,2.07E-02
1,Monday,1,work_flow_1,File_6,0.0409712156,1,4.00E-02
1,Monday,1,work_flow_1,File_7,0.0392348766,1,3.99E-02
1,Monday,1,work_flow_1,File_8,0.0408134263,1,4.02E-02
1,Monday,1,work_flow_1,File_9,0.042345607,1,4.01E-02
1,Monday,1,work_flow_1,File_10,0.0377038808,1,3.97E-02
1,Monday,1,work_flow_1,File_11,0.0409169679,1,4.02E-02
1,Monday,1,work_flow_2,File_15,0.0021599213,1,1.85E-03
1,Monday,1,work_flow_4,File_24,0.0184086851,1,3.20E-02
1,Monday,1,work_flow_4,File_25,0.020608349,1,3.23E-02
1,Monday,1,work_flow_4,File_26,0.0207793035,1,3.18E-02
1,Monday,1,work_flow_4,File_27,0.0200150802,1,3.20E-02
1,Monday,1,work_flow_4,File_28,0.0214587751,1,3.13E-02
1,Monday,1,work_flow_4,File_29,0.0199355542,1,3.18E-02
1,Monday,5,work_flow_2,File_12,0,0,0.00E+00
1,Monday,5,work_flow_2,File_13,0,0,0.00E+00
1,Monday,5,work_flow_2,File_14,0,0,0.00E+00
1,Monday,5,work_flow_2,File_16,0,0,0.00E+00
1,Monday,5,work_flow_2,File_17,0,0,0.00E+00
1,Monday,5,work_flow_3,File_18,0,0,0.00E+00
1,Monday,5,work_flow_3,File_19,0,0,0.00E+00
1,Monday,5,work_flow_3,File_20,0,0,0.00E+00
1,Monday,5,work_flow_3,File_21,0,0,0.00E+00
1,Monday,5,work_flow_3,File_22,0,0,0.00E+00
1,Monday,5,work_flow_3,File_23,0,0,0.00E+00
1,Monday,5,work_flow_2,File_15,0,0,0.00E+00
1,Monday,5,work_flow_0,File_0,0.0807320436,1,7.40E-02
1,Monday,5,work_flow_0,File_1,0.0797924265,1,7.48E-02
1,Monday,5,work_flow_0,File_2,0.042312931,1,7.34E-02
1,Monday,5,work_flow_0,File_3,0.0840051721,1,7.48E-02
1,Monday,5,work_flow_0,File_4,0.078557789,1,7.46E-02
1,Monday,5,work_flow_0,File_5,0.0794558686,1,7.41E-02
1,Monday,5,work_flow_1,File_6,0.1555415636,1,1.57E-01
1,Monday,5,work_flow_1,File_7,0.1539738283,1,1.56E-01
1,Monday,5,work_flow_1,File_8,0.1598020634,1,1.59E-01
1,Monday,5,work_flow_1,File_9,0.1599506584,1,1.58E-01
1,Monday,5,work_flow_1,File_10,0.1636845247,1,1.61E-01
1,Monday,5,work_flow_1,File_11,0.1609182896,1,1.59E-01
1,Monday,5,work_flow_4,File_24,0.0617582816,1,7.31E-02
1,Monday,5,work_flow_4,File_25,0.0640275007,1,7.27E-02
1,Monday,5,work_flow_4,File_26,0.0802290344,1,7.30E-02
1,Monday,5,work_flow_4,File_27,0.080983995,1,7.20E-02
1,Monday,5,work_flow_4,File_28,0.0651005044,1,7.11E-02
1,Monday,5,work_flow_4,File_29,0.0809710345,1,7.41E-02
1,Monday,9,work_flow_2,File_12,0,0,0.00E+00
1,Monday,9,work_flow_2,File_13,0,0,0.00E+00
1,Monday,9,work_flow_2,File_14,0,0,0.00E+00
1,Monday,9,work_flow_2,File_16,0,0,0.00E+00
1,Monday,9,work_flow_2,File_17,0,0,0.00E+00
1,Monday,9,work_flow_3,File_19,0,0,0.00E+00
1,Monday,9,work_flow_3,File_20,0,0,0.00E+00
1,Monday,9,work_flow_3,File_21,0,0,0.00E+00
1,Monday,9,work_flow_3,File_23,0,0,0.00E+00
1,Monday,9,work_flow_2,File_15,0,0,0.00E+00
1,Monday,9,work_flow_3,File_18,0.004089153,1,2.87E-03
1,Monday,9,work_flow_3,File_22,0.0008634361,1,2.90E-03
1,Monday,9,work_flow_0,File_0,0.0978266169,1,9.49E-02
1,Monday,9,work_flow_0,File_1,0.0977952521,1,9.51E-02
1,Monday,9,work_flow_0,File_2,0.0994705041,1,9.55E-02
1,Monday,9,work_flow_0,File_3,0.0981656145,1,9.24E-02
1,Monday,9,work_flow_0,File_4,0.1017984188,1,9.42E-02
1,Monday,9,work_flow_0,File_5,0.1010942077,1,9.54E-02
1,Monday,9,work_flow_4,File_24,0.0966178825,1,1.07E-01
1,Monday,9,work_flow_4,File_25,0.0801287341,1,9.44E-02
1,Monday,9,work_flow_4,File_26,0.1200830748,1,1.18E-01
1,Monday,9,work_flow_4,File_27,0.119536016,1,1.18E-01
1,Monday,9,work_flow_4,File_28,0.1221708762,1,1.18E-01
1,Monday,9,work_flow_4,File_29,0.1195709345,1,1.17E-01
1,Monday,9,work_flow_1,File_6,0.1548031276,2,1.59E-01
1,Monday,9,work_flow_1,File_7,0.1608470843,2,1.60E-01
1,Monday,9,work_flow_1,File_8,0.1551077201,2,1.60E-01
1,Monday,9,work_flow_1,File_9,0.1581171658,2,1.60E-01
1,Monday,9,work_flow_1,File_10,0.1691820534,2,1.61E-01
1,Monday,9,work_flow_1,File_11,0.1628882342,2,1.60E-01
1,Monday,13,work_flow_2,File_12,0,0,0.00E+00
1,Monday,13,work_flow_2,File_13,0,0,0.00E+00
1,Monday,13,work_flow_2,File_17,0,0,0.00E+00
1,Monday,13,work_flow_3,File_19,0,0,0.00E+00
1,Monday,13,work_flow_3,File_20,0,0,0.00E+00
1,Monday,13,work_flow_2,File_15,0,0,0.00E+00
1,Monday,13,work_flow_3,File_22,0,0,0.00E+00
1,Monday,13,work_flow_2,File_14,0.0012543146,1,2.25E-03
1,Monday,13,work_flow_2,File_16,0.0028693029,1,2.18E-03
1,Monday,13,work_flow_3,File_21,0.0016038292,1,3.14E-03
1,Monday,13,work_flow_3,File_23,0.0015243704,1,3.11E-03
1,Monday,13,work_flow_3,File_18,0.0023981741,1,3.20E-03
1,Monday,13,work_flow_4,File_24,0.1031772705,1,9.46E-02
1,Monday,13,work_flow_4,File_25,0.0797816448,1,8.84E-02
1,Monday,13,work_flow_4,File_26,0.1014520646,1,9.36E-02
1,Monday,13,work_flow_4,File_27,0.0782425541,1,9.43E-02
1,Monday,13,work_flow_4,File_28,0.0994365777,1,9.51E-02
1,Monday,13,work_flow_4,File_29,0.0999528152,1,9.63E-02
1,Monday,13,work_flow_0,File_0,0.1597900297,2,1.60E-01
1,Monday,13,work_flow_0,File_1,0.1580684322,2,1.60E-01
1,Monday,13,work_flow_0,File_2,0.1603269007,2,1.60E-01
1,Monday,13,work_flow_0,File_3,0.1586679535,2,1.60E-01
1,Monday,13,work_flow_0,File_4,0.1613253288,2,1.60E-01
1,Monday,13,work_flow_0,File_5,0.1606334364,2,1.60E-01
1,Monday,17,work_flow_2,File_17,0,0,0.00E+00
1,Monday,17,work_flow_3,File_19,0,0,0.00E+00
1,Monday,17,work_flow_3,File_20,0,0,0.00E+00
1,Monday,17,work_flow_2,File_15,0,0,0.00E+00
1,Monday,17,work_flow_2,File_14,0,0,0.00E+00
1,Monday,17,work_flow_3,File_18,0,0,0.00E+00
1,Monday,13,work_flow_1,File_6,1.0012922851,4,1.00E+00
1,Monday,13,work_flow_1,File_7,1.0047750945,4,1.00E+00
1,Monday,13,work_flow_1,File_8,0.9920924705,4,9.97E-01
